PriceValueId	Created	Modified	CatalogEntryCode	MarketId	CurrencyCode	ValidFrom	ValidUntil	UnitPrice
169530676	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	sv	SEK	1970-01-01 00:00:00.0000000	NULL	439.600000000
169530677	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	sv	SEK	2018-06-18 00:00:00.0000000	2018-08-05 00:00:00.0000000	399.600000000
169530678	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	sv	SEK	2018-08-01 00:00:00.0000000	2018-08-05 00:00:00.0000000	326.800000000
169530679	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	sv	SEK	2018-08-07 00:00:00.0000000	2018-08-19 00:00:00.0000000	326.800000000
169530680	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	no	NOK	1970-01-01 00:00:00.0000000	NULL	439.600000000
169530681	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	no	NOK	2018-06-18 00:00:00.0000000	2018-08-05 00:00:00.0000000	399.600000000
169530682	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	da	DKK	1970-01-01 00:00:00.0000000	NULL	314.400000000
169530683	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	da	DKK	2018-06-18 00:00:00.0000000	2018-08-05 00:00:00.0000000	361.600000000
169530684	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	nl	EUR	1970-01-01 00:00:00.0000000	NULL	10.413663140
169530685	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	nl	EUR	2018-06-18 00:00:00.0000000	2018-08-05 00:00:00.0000000	41.414141411
169530686	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	fi	EUR	1970-01-01 00:00:00.0000000	NULL	49.193148382
169530687	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	fi	EUR	2018-06-18 00:00:00.0000000	2018-08-05 00:00:00.0000000	44.314838210
169530688	2018-08-07 00:00:00.0000000	2018-08-07 00:00:00.0000000	27773-02	es	EUR	1970-01-01 00:00:00.0000000	NULL	10.413663140
